Date,Close
2020-09-06,348.44
2020-09-07,349.33
2020-09-08,334.0
2020-09-09,370.96
2020-09-10,357.02
2020-09-11,369.86
2020-09-12,389.03
2020-09-13,366.22
2020-09-14,376.1
2020-09-15,360.09
2020-09-16,377.0
2020-09-17,387.45
2020-09-18,383.18
2020-09-19,381.55
2020-09-20,374.99
2020-09-21,342.99
2020-09-22,341.28
2020-09-23,324.98
2020-09-24,344.81
2020-09-25,350.95
2020-09-26,359.61
2020-09-27,358.06
2020-09-28,353.3
2020-09-29,355.79
2020-09-30,362.34
2020-10-01,352.99
2020-10-02,348.81
2020-10-03,345.98
2020-10-04,351.98
2020-10-05,353.63
2020-10-06,337.02
2020-10-07,339.51
2020-10-08,350.03
2020-10-09,376.1
2020-10-10,370.76
2020-10-11,374.74
2020-10-12,383.09
2020-10-13,381.65
2020-10-14,376.83
2020-10-15,378.36
2020-10-16,368.38
2020-10-17,368.77
2020-10-18,374.04
2020-10-19,380.11
2020-10-20,378.44
2020-10-21,393.33
2020-10-22,414.0
2020-10-23,412.01
2020-10-24,415.47
2020-10-25,409.38
2020-10-26,393.41
2020-10-27,406.3
2020-10-28,392.01
2020-10-29,385.52
2020-10-30,383.29
2020-10-31,386.88
2020-11-01,399.53
2020-11-02,374.53
2020-11-03,386.89
2020-11-04,405.43
2020-11-05,427.75
2020-11-06,459.41
2020-11-07,439.26
2020-11-08,452.82
2020-11-09,449.66
2020-11-10,463.33
2020-11-11,458.74
2020-11-12,464.49
2020-11-13,472.04
2020-11-14,457.94
2020-11-15,449.99
2020-11-16,462.4
2020-11-17,488.63
2020-11-18,478.43
2020-11-19,485.13
2020-11-20,508.78
2020-11-21,549.85
2020-11-22,574.51
2020-11-23,614.38
2020-11-24,585.19
2020-11-25,534.37
2020-11-26,519.97
2020-11-27,515.39
2020-11-28,543.73
2020-11-29,588.8
2020-11-30,605.35
2020-12-01,585.15
2020-12-02,595.79
2020-12-03,602.86
2020-12-04,576.12
2020-12-05,597.47
2020-12-06,595.38
2020-12-07,588.56
2020-12-08,552.0
2020-12-09,567.47
2020-12-10,547.43
2020-12-11,554.7
2020-12-12,565.56
2020-12-13,590.61
2020-12-14,593.22
2020-12-15,583.91
2020-12-16,637.13
2020-12-17,643.87
2020-12-18,656.84
2020-12-19,647.62
2020-12-20,645.28
2020-12-21,610.01
2020-12-22,622.78
2020-12-23,574.95
2020-12-24,605.86
2020-12-25,633.99
2020-12-26,643.47
2020-12-27,703.28
2020-12-28,698.91
2020-12-29,732.69
2020-12-30,743.7
2020-12-31,746.69
2021-01-01,732.14
2021-01-02,773.66
2021-01-03,1023.12
2021-01-04,1001.72
2021-01-05,1080.09
2021-01-06,1218.41
2021-01-07,1152.91
2021-01-08,1227.74
2021-01-09,1315.43
2021-01-10,1101.2
2021-01-11,1088.38
2021-01-12,1045.77
2021-01-13,1097.76
2021-01-14,1219.0
2021-01-15,1179.36
2021-01-16,1241.89
2021-01-17,1193.62
2021-01-18,1322.18
2021-01-19,1342.27
2021-01-20,1327.31
2021-01-21,1160.47
2021-01-22,1234.14
2021-01-23,1295.1
2021-01-24,1428.59
2021-01-25,1314.85
2021-01-26,1311.11
2021-01-27,1291.66
2021-01-28,1323.98
2021-01-29,1342.34
2021-01-30,1359.22
2021-01-31,1318.18
2021-02-01,1370.0
2021-02-02,1541.68
2021-02-03,1648.62
2021-02-04,1641.97
2021-02-05,1682.89
2021-02-06,1629.06
2021-02-07,1582.45
2021-02-08,1737.94
2021-02-09,1813.21
2021-02-10,1745.01
2021-02-11,1766.87
